length,infection,facility,Xray
7.13,4.1,60,39.6
8.82,1.6,40,51.7
8.34,2.7,20,74
8.95,5.6,40,122.8
11.2,5.7,40,88.9
9.76,5.1,40,97
9.68,4.6,40,79
11.18,5.4,60,85.8
8.67,4.3,40,90.8
8.84,6.3,40,82.6
11.07,4.9,80,122
8.3,4.3,40,83.8
12.78,7.7,57.1,116.9
7.58,3.7,37.1,88
9,4.2,17.1,76.4
11.08,5.5,57.1,63.6
8.28,4.5,37.1,101.8
11.62,6.4,37.1,99.2
9.06,4.2,37.1,75.9
9.35,4.1,77.1,80.9
7.53,4.2,17.1,98.9
10.24,4.8,37.1,112.6
9.78,5,57.1,95.9
9.84,4.8,57.1,82.3
9.2,4,57.1,71.1
8.28,3.9,57.1,113.1
9.31,4.5,37.1,101.3
8.19,3.2,37.1,59.2
11.65,4.4,37.1,96.1
9.89,4.9,37.1,103.6
11.03,5,57.1,102.1
9.84,5.2,54.3,72.6
11.77,5.3,34.3,56
13.59,6.1,54.3,111.7
9.74,6.3,54.3,76.1
10.33,5,54.3,104.3
9.97,2.8,34.3,76.5
7.84,4.6,34.3,87.9
10.47,4.1,54.3,69.1
8.16,1.3,14.3,58
8.48,3.7,34.3,92.8
10.72,4.7,34.3,94.1
11.2,3,34.3,78.9
10.12,5.6,54.3,79.1
8.37,5.5,34.3,84.8
10.16,4.6,74.3,51.5
19.56,6.5,51.4,113.7
10.9,5.5,51.4,71.9
7.67,1.8,11.4,40.4
8.88,4.2,51.4,86.9
11.48,5.6,51.4,82
9.23,4.3,71.4,42.6
11.41,7.6,51.4,97.9
12.07,7.8,31.4,105.3
8.63,3.1,31.4,56.2
11.15,3.9,51.4,73.9
7.14,3.7,31.4,75.8
7.65,4.3,51.4,65.7
10.73,3.9,51.4,101
11.46,4.5,31.4,97.7
10.42,3.4,31.4,59
11.18,5.7,68.6,55.9
7.93,5.4,28.6,98.1
9.66,4.4,28.6,98.3
7.78,5,48.6,71.6
9.42,4.3,48.6,62.8
10.02,4.4,48.6,93
8.58,3.7,48.6,95.9
9.61,4.5,48.6,87.2
8.03,3.5,28.6,87.3
7.39,4.2,28.6,88.4
7.08,2,28.6,56.4
9.53,5.2,48.6,65.7
10.05,4.5,68.6,87.5
8.45,3.4,48.6,85
6.7,4.5,28.6,80.8
8.9,2.9,28.6,86.9
10.23,4.9,68.6,77.9
8.88,4.4,48.6,76.8
10.3,5.1,45.7,88.9
10.79,2.9,65.7,56.6
7.94,3.5,45.7,92.3
7.63,5.5,45.7,61.1
8.77,4.7,25.7,47
8.09,1.7,45.7,56.9
9.05,4.1,45.7,79.8
7.91,2.9,65.7,79.5
10.39,4.3,65.7,88.3
9.36,4.8,45.7,90.6
11.41,5.8,45.7,73
8.86,2.9,25.7,87.5
8.93,2,25.7,72.5
8.92,1.3,5.7,79.5
8.15,5.3,25.7,79.8
9.77,5.3,25.7,89.7
8.54,2.5,45.7,82.5
8.66,3.8,45.7,69.5
12.01,4.8,45.7,96.9
7.95,2.3,42.9,54.9
10.15,6.2,62.9,59.2
9.76,2.6,22.9,80.1
9.89,4.3,42.9,108.7
7.14,2.7,22.9,92.6
13.95,6.6,62.9,133.5
9.44,4.5,42.9,58.5
10.8,2.9,22.9,57.4
7.14,1.4,22.9,45.7
8.02,2.1,22.9,46.5
11.8,5.7,62.9,116.9
9.5,5.8,22.9,70.9
7.7,4.4,62.9,67.9
17.94,5.9,62.9,91.8
9.41,3.1,22.9,91.7
